"Content Slideshow","Content Slideshow"
"Content Slideshow (Banners)","Content Slideshow (Banners)"
"Transition Animation","Transition Animation"
"Slide","Slide"
"Fade","Fade"
"Back Slide","Back Slide"
"Slide Down","Slide Down"
"Fade and Zoom","Fade and Zoom"
"Auto-Start Slideshow","Auto-Start Slideshow"
"Timeout Between Slides (in milliseconds)","Timeout Between Slides (in milliseconds)"
"Include Pager","Include Pager"
"Display Numbers in Pagers","Display Numbers in Pagers"
"Include Prev/Next Controls","Include Prev/Next Controls"
"Hide Prev/Next Controls when Not Hovering (will always show on touch devices)","Hide Prev/Next Controls when Not Hovering (will always show on touch devices)"
"Custom Prev Link Text","Custom Prev Link Text"
"Custom Next Link Text","Custom Next Link Text"
"Pause on Hover","Pause on Hover"
"Content Slideshow Default Template","Content Slideshow Default Template"
"Catalog Product Carousel","Catalog Product Carousel"
"Parent Category","Parent Category"
"Carousel Display Title","Carousel Display Title"
"Sort Order","Sort Order"
"Position in category","Position in category"
"Random","Random"
"Auto-Start Carousel","Auto-Start Carousel"
"Timeout Between Scrolling (in milliseconds)","Timeout Between Scrolling (in milliseconds)"
"Scroll one page at a time (as opposed to per product)","Scroll one page at a time (as opposed to per product)"
"Max Number of Products","Max Number of Products"
"Products to Show at a Time (default)","Products to Show at a Time (default)"
"Products to Show at a Time (on Large/Small-Desktop Screens)","Products to Show at a Time (on Large/Small-Desktop Screens)"
"Products to Show at a Time (on Medium/Tablet Screens)","Products to Show at a Time (on Medium/Tablet Screens)"
"Products to Show at a Time (on Small/Mobile Screens)","Products to Show at a Time (on Small/Mobile Screens)"
"Include Prev/Next Controls (always included when Auto-scroll is No and Include Pager is No)","Include Prev/Next Controls (always included when Auto-scroll is No and Include Pager is No)"
"Product Carousel Default Template","Product Carousel Default Template"
