MerchantProductID;Title;ProductURL;Price;Description;ImageURL;Brand;MPN;SKU;Availability;MerchantCategory;ShippingWeight;Condition;B_Category ;custom_label_1;custom_label_2;custom_label_3
1983;6 Oz. Oil & Vinegar Cruets, 12 Pieces;https://www.forthechef.com/6-oz-oil-vinegar-cruets-12-pieces.html;17.99 USD;Display your finest liquid condiments in this simple yet elegant oil and vinegar cruet. This cruet is great for storing and for adding a dash of oil and vinegar, dressings, sauces, and light syrups. Constructed from glass featuring a stainless steel top with a pour spout and a holding capacity of 6 ounces, this stylish addition is perfect for any table and decor. ;https://www.forthechef.com/media/catalog/product/k/-/k-944009397.jpg;FortheChef;G-104;K-944009397;in stock;Jet Utensils Tongs & Whisks, Tabletop > Entertaining > Shakers & Mills;6.77 lbs;new;6526;Jet Utensils Tongs & Whisks, Tabletop > Entertaining > Shakers & Mills;Greater than 10;
1995;3 Oz. Stainless Steel Gravy Boat;https://www.forthechef.com/3-oz-stainless-steel-gravy-boat.html;6.99 USD;Bring a refined touch of classic style to the table by serving gravy, sauce or a dressing in this stainless steel gravy boat. A tapered spout allows for consistent, drip-free pours and drizzling of dessert sauces while the ergonomically designed handle makes it easy to hold and carry. Composed of commercial-grade stainless steel, it will resist rust and corrosion and will not chemically react with acidic food, perfect for pairing a raspberry sauce with your New York style cheesecake. A stylish vessel for sweet or savory sauces, the mirror-finish of this gravy boat will add an elegant touch to any table setting or dessert plate. ;https://www.forthechef.com/media/catalog/product/9/4/944005382.jpg;FortheChef;GBS-3;944005382;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.16 lbs;new;3703;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
1996;5 Oz. Stainless Steel Gravy Boat;https://www.forthechef.com/5-oz-stainless-steel-gravy-boat.html;6.99 USD;Bring a refined touch of classic style to the table by serving gravy, sauce or a dressing in this stainless steel gravy boat. A tapered spout allows for consistent, drip-free pours and drizzling of dessert sauces while the ergonomically designed handle makes it easy to hold and carry. Composed of commercial-grade stainless steel, it will resist rust and corrosion and will not chemically react with acidic food, perfect for pairing a raspberry sauce with your New York style cheesecake. A stylish vessel for sweet or savory sauces, the mirror-finish of this gravy boat will add an elegant touch to any table setting or dessert plate. ;https://www.forthechef.com/media/catalog/product/9/4/944005405.jpg;FortheChef;GBS-5;944005405;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.26 lbs;new;3703;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
1997;8 Oz. Stainless Steel Gravy Boat;https://www.forthechef.com/8-oz-stainless-steel-gravy-boat.html;7.99 USD;This sculptural server provides an elegant presentation for your favorite sauces, gravies and dressings. With its 8 ounce capacity and tapered spout, guests can pour chocolate over their dessert. Crafted from commercial-grade stainless steel, it will resist rust and corrosion and will not chemically react with acidic food, perfect for serving citrus-infused vinaigrettes. Designed to pair well with a variety of tableware and linens, the high polished mirror-finish of this gravy boat will elevate any table setting. ;https://www.forthechef.com/media/catalog/product/9/4/944005412.jpg;FortheChef;GBS-8;944005412;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.29 lbs;new;3703;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
1998;10 Oz. Stainless Steel Gravy Boat;https://www.forthechef.com/10-oz-stainless-steel-gravy-boat.html;9.99 USD;This sculptural server provides an elegant presentation for your favorite sauces, gravies and dressings. With its 8 ounce capacity and tapered spout, guests can pour chocolate over their dessert. Crafted from commercial-grade stainless steel, it will resist rust and corrosion and will not chemically react with acidic food, perfect for serving citrus-infused vinaigrettes. Designed to pair well with a variety of tableware and linens, the high polished mirror-finish of this gravy boat will elevate any table setting. ;https://www.forthechef.com/media/catalog/product/9/4/944005375.jpg;FortheChef;GBS-10;944005375;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.40 lbs;new;3703;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
1999;3 Oz. Stainless Steel Bell Creamer;https://www.forthechef.com/3-oz-stainless-steel-bell-creamer.html;6.99 USD;Tea for two calls for this petite 3-ounce classic bell creamer. Featuring a charming handle that ensures steady pouring and a round, tapered drip-free spout that offers easy and consistent dispensing of cream or milk into your hot beverage of choice, this creamer is essential to any kitchen. Constructed from mirror-finish stainless steel, this bell creamer will resist rust and corrosion. Perfect for tea or an afternoon coffee break, this sleek bell creamer will complement your tabletop presentation. ;https://www.forthechef.com/media/catalog/product/9/4/944004156.jpg;FortheChef;BCS-3;944004156;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.08 lbs;new;3373;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
2000;5 Oz. Stainless Steel Bell Creamer;https://www.forthechef.com/5-oz-stainless-steel-bell-creamer.html;6.99 USD;This 5-ounce classic bell creamer elevates your morning coffee or afternoon tea. Ergonomically designed, the sturdy handle enables easy pouring and serving. A round, tapered drip-free spout ensures a consistently smooth pour. With its mirror-finished stainless steel construction, this creamer pitcher is rust and corrosion resistant and will not chemically react with acidic food or liquid. The sleek, unmistakable mirror-finish is ready for use morning, noon and night ;https://www.forthechef.com/media/catalog/product/9/4/944004163.jpg;FortheChef;BCS-5;944004163;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.15 lbs;new;3373;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
2001;8 Oz. Stainless Steel Bell Creamer;https://www.forthechef.com/8-oz-stainless-steel-bell-creamer.html;6.99 USD;Elevate any meal with this elegant 8-ounce stainless steel bell creamer. This bell creamer features a rounded, tapered spout for perfect drip-free pouring. Ergonomically designed, the sturdy handle ensures effortless transportation to and from the table. The mirror-finish stainless steel construction is rust and corrosion resistant and will not chemically react with acidic food or liquid. The distinctive shine of the mirror-finish polish adds a touch of elegance to any table setting.  ;https://www.forthechef.com/media/catalog/product/9/4/944004170.jpg;FortheChef;BCS-8;944004170;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.19 lbs;new;3373;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
2002;10 Oz. Stainless Steel Bell Creamer;https://www.forthechef.com/10-oz-stainless-steel-bell-creamer.html;7.99 USD;Guests will appreciate the charming silhouette this 10-ounce stainless steel bell creamer has to offer. A sturdy, ergonomic handle enables easy pouring and serving. The round, tapered drip-free spout ensures a smooth consistent pour. With its mirror-finished stainless steel construction, this creamer pitcher is resistant to rust and corrosion and will not chemically react with acidic food or liquid. This creamer can be used as an espresso pourer from an espresso machine. With its style, durability and practicality, this creamer adds a touch of elegance to any table setting. ;https://www.forthechef.com/media/catalog/product/6/4/642010902_1.jpg;FortheChef;BCS-10;642010902;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.21 lbs;new;3373;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 2;
2003;4 Piece Professional Butter Warmer Set;https://www.forthechef.com/4-piece-professional-butter-warmer-set.html;10.99 USD;Melt butter while keeping its creamy consistency using this butter warmer. Ideal for creating the ultimate dipping mixture for meaty lobster or for a firm haddock fish fillet, the butter warmer provides the convenience of consistent melted butter without having to interrupt dinner to reheat butter. The set includes a stand, a butter cup, a candle holder and a candle. ;https://www.forthechef.com/media/catalog/product/6/4/642024824.jpg;FortheChef;SBW-35;642024824;in stock;Tabletop > Entertaining > Miscellaneous Entertaining;0.76 lbs;new;654;Tabletop > Entertaining > Miscellaneous Entertaining;Greater than 10;
